model,horizon_hours,seed,development_fit_seconds,final_fit_seconds,prediction_seconds,parameter_count,artifact_bytes,threshold_policy,threshold,windows,positive_windows,prevalence,average_precision,ap_lift_over_prevalence,roc_auc,brier_score,balanced_accuracy,precision,recall,f1,tn,fp,fn,tp,false_alert_episodes,evaluated_days,false_alert_episodes_per_day,held_out_event_detected,first_alert_lead_hours
xgboost,1,17,0.32389338600000883,0.10268924100000731,0.011206111000092278,,22305,reference_0.5,0.5,2032,2,0.000984251968503937,0.0017497812773403325,1.777777777777778,0.5,0.11002737477818543,0.4970443349753695,0.0,0.0,0.0,2018,12,2,0,12,42.333333333333336,0.28346456692913385,False,
xgboost,1,17,0.32389338600000883,0.10268924100000731,0.011206111000092278,,22305,development_selected,0.3,2032,2,0.000984251968503937,0.0017497812773403325,1.777777777777778,0.5,0.11002737477818543,0.31527093596059114,0.0,0.0,0.0,1280,750,2,0,301,42.333333333333336,7.110236220472441,False,
xgboost,1,42,0.23235474199987038,0.08101188299997375,0.006099072999859345,,35046,reference_0.5,0.5,2032,2,0.000984251968503937,0.0011173184357541898,1.135195530726257,0.12142857142857144,0.04266372282850415,0.4899014778325123,0.0,0.0,0.0,1989,41,2,0,36,42.333333333333336,0.8503937007874015,False,
xgboost,1,42,0.23235474199987038,0.08101188299997375,0.006099072999859345,,35046,development_selected,0.3,2032,2,0.000984251968503937,0.0011173184357541898,1.135195530726257,0.12142857142857144,0.04266372282850415,0.46551724137931033,0.0,0.0,0.0,1890,140,2,0,73,42.333333333333336,1.7244094488188975,False,
xgboost,1,89,0.207530578999922,0.062321414000052755,0.005526012000018454,,17847,reference_0.5,0.5,2032,2,0.000984251968503937,0.0019455252918287938,1.9766536964980546,0.6379310344827587,0.16038935771674864,0.4770935960591133,0.0,0.0,0.0,1937,93,2,0,42,42.333333333333336,0.9921259842519684,False,
xgboost,1,89,0.207530578999922,0.062321414000052755,0.005526012000018454,,17847,development_selected,0.3,2032,2,0.000984251968503937,0.0019455252918287938,1.9766536964980546,0.6379310344827587,0.16038935771674864,0.5,0.000984251968503937,1.0,0.0019665683382497543,0,2030,0,2,63,42.333333333333336,1.4881889763779528,True,0.5319444444444444
xgboost,3,17,0.18149649499991938,0.05338889999984531,0.005284982000148375,,14179,reference_0.5,0.5,2032,6,0.002952755905511811,0.002952755905511811,1.0,0.4358341559723593,0.23057826888127028,0.4420039486673248,0.0,0.0,0.0,1791,235,6,0,67,42.333333333333336,1.5826771653543306,False,
xgboost,3,17,0.18149649499991938,0.05338889999984531,0.005284982000148375,,14179,development_selected,0.38,2032,6,0.002952755905511811,0.002952755905511811,1.0,0.4358341559723593,0.23057826888127028,0.5,0.002952755905511811,1.0,0.005888125613346418,0,2026,0,6,63,42.333333333333336,1.4881889763779528,True,2.531944444444445
xgboost,3,42,0.17106689399997776,0.0509124029999839,0.005422281999926781,,15980,reference_0.5,0.5,2032,6,0.002952755905511811,0.0029644268774703555,1.0039525691699605,0.4397828232971372,0.194813969520153,0.45557749259624875,0.0,0.0,0.0,1846,180,6,0,56,42.333333333333336,1.3228346456692912,False,
xgboost,3,42,0.17106689399997776,0.0509124029999839,0.005422281999926781,,15980,development_selected,0.38,2032,6,0.002952755905511811,0.0029644268774703555,1.0039525691699605,0.4397828232971372,0.194813969520153,0.5,0.002952755905511811,1.0,0.005888125613346418,0,2026,0,6,63,42.333333333333336,1.4881889763779528,True,2.531944444444445
xgboost,3,89,0.2613056870000037,0.07938399599993318,0.007486141999834217,,15093,reference_0.5,0.5,2032,6,0.002952755905511811,0.002957121734844751,1.0014785608674224,0.4395360315893386,0.21190432876282084,0.4602665350444225,0.0,0.0,0.0,1865,161,6,0,62,42.333333333333336,1.464566929133858,False,
xgboost,3,89,0.2613056870000037,0.07938399599993318,0.007486141999834217,,15093,development_selected,0.38,2032,6,0.002952755905511811,0.002957121734844751,1.0014785608674224,0.4395360315893386,0.21190432876282084,0.5,0.002952755905511811,1.0,0.005888125613346418,0,2026,0,6,63,42.333333333333336,1.4881889763779528,True,2.531944444444445
xgboost,6,17,0.16890768600001138,0.05100687399999515,0.004956938999839622,,16936,reference_0.5,0.5,2032,12,0.005905511811023622,0.005645619617688908,0.9559915885953217,0.4412747524752475,0.18378098391851716,0.4504950495049505,0.0,0.0,0.0,1820,200,12,0,54,42.333333333333336,1.2755905511811023,False,
xgboost,6,17,0.16890768600001138,0.05100687399999515,0.004956938999839622,,16936,development_selected,0.36,2032,12,0.005905511811023622,0.005645619617688908,0.9559915885953217,0.4412747524752475,0.18378098391851716,0.5,0.005905511811023622,1.0,0.011741682974559686,0,2020,0,12,63,42.333333333333336,1.4881889763779528,True,5.531944444444444
xgboost,6,42,0.18860403799999403,0.05301682999993318,0.005264469999929133,,14194,reference_0.5,0.5,2032,12,0.005905511811023622,0.005905511811023622,1.0,0.43564356435643564,0.22964687264508488,0.45544554455445546,0.0,0.0,0.0,1840,180,12,0,65,42.333333333333336,1.5354330708661417,False,
xgboost,6,42,0.18860403799999403,0.05301682999993318,0.005264469999929133,,14194,development_selected,0.36,2032,12,0.005905511811023622,0.005905511811023622,1.0,0.43564356435643564,0.22964687264508488,0.5,0.005905511811023622,1.0,0.011741682974559686,0,2020,0,12,63,42.333333333333336,1.4881889763779528,True,5.531944444444444
xgboost,6,89,0.1786195179997776,0.05560313099999803,0.004917441000088729,,14202,reference_0.5,0.5,2032,12,0.005905511811023622,0.005905511811023622,1.0,0.43787128712871287,0.23067697753939256,0.4430693069306931,0.0,0.0,0.0,1790,230,12,0,59,42.333333333333336,1.3937007874015748,False,
xgboost,6,89,0.1786195179997776,0.05560313099999803,0.004917441000088729,,14202,development_selected,0.36,2032,12,0.005905511811023622,0.005905511811023622,1.0,0.43787128712871287,0.23067697753939256,0.5,0.005905511811023622,1.0,0.011741682974559686,0,2020,0,12,63,42.333333333333336,1.4881889763779528,True,5.531944444444444
xgboost,12,17,0.16266571899973314,0.04769469999996545,0.005006395999998858,,14320,reference_0.5,0.5,2032,24,0.011811023622047244,0.011450528109389551,0.969478046594982,0.45459827357237714,0.2338149657623104,0.4026394422310757,0.0,0.0,0.0,1617,391,24,0,111,42.333333333333336,2.622047244094488,False,
xgboost,12,17,0.16266571899973314,0.04769469999996545,0.005006395999998858,,14320,development_selected,0.35,2032,24,0.011811023622047244,0.011450528109389551,0.969478046594982,0.45459827357237714,0.2338149657623104,0.5,0.011811023622047244,1.0,0.023346303501945526,0,2008,0,24,63,42.333333333333336,1.4881889763779528,True,11.531944444444443
