event,horizon_hours,model,seeds,prevalence,average_precision_mean,average_precision_std,ap_lift_mean,ap_lift_std,roc_auc_mean,roc_auc_std,median_score_gap_mean
may_failure,1.0,attention_tcn,3,0.00819672131147541,0.017846104692928032,0.00033150245088452173,2.1772247725372194,0.040443299007911424,0.6611570247933884,0.005466428328645893,1.3774516401338478e-06
may_failure,1.0,tcn,3,0.00819672131147541,0.12285905018159755,0.18227610547111228,14.988804122154901,22.2376848674757,0.7672176308539945,0.19087077597220883,1.593092503211481e-07
may_failure,1.0,xgboost,3,0.00819672131147541,0.00819672131147541,0.0,1.0,0.0,0.4917355371900826,0.00715723474202017,0.0
may_failure,3.0,attention_tcn,3,0.02459016393442623,0.038758549159736644,0.001759941172291494,1.5761809991626237,0.07157094100652076,0.6440242763772175,0.012708363761733087,1.0328078617038069e-05
may_failure,3.0,tcn,3,0.02459016393442623,0.03529266752800544,0.0020914612181957715,1.4352351461388875,0.08505275620662792,0.6141456582633054,0.02132120076700046,4.835496857860803e-14
may_failure,3.0,xgboost,3,0.02459016393442623,0.02459016393442623,0.0,1.0,0.0,0.4915966386554622,0.007277524401549919,0.0
may_failure,6.0,attention_tcn,3,0.04918032786885246,0.06306593226934934,0.004402227338732778,1.2823406228101033,0.08951195588756655,0.600933908045977,0.031828847581718014,5.858061148867876e-05
may_failure,6.0,tcn,3,0.04918032786885246,0.06210158142307876,0.0029522465040762898,1.2627321556026017,0.06002901224955133,0.5982998084291188,0.016543798323195254,1.0200108409165559e-13
may_failure,6.0,xgboost,3,0.04918032786885246,0.04918032786885246,0.0,1.0,0.0,0.49137931034482757,0.0074657362395210295,0.0
may_failure,12.0,attention_tcn,3,0.09836065573770492,0.09562409916825644,0.0028694901807135927,0.9721783415439406,0.029173150170588177,0.43371212121212127,0.10646769816702337,2.523312396156018e-15
may_failure,12.0,tcn,3,0.09836065573770492,0.0933506458244699,0.004782580819012341,0.9490648992154442,0.04862290499329212,0.4194128787878788,0.09048477562269996,4.768562340395998e-31
may_failure,12.0,xgboost,3,0.09836065573770492,0.09836065573770492,0.0,1.0,0.0,0.4909090909090909,0.007872958216222165,0.0
june_failure,1.0,attention_tcn,3,0.008097165991902834,0.11010328811600643,0.06012035518765926,13.597756082326795,7.42486386567592,0.654421768707483,0.024518124205360623,0.028150760990683917
june_failure,1.0,tcn,3,0.008097165991902834,0.020789861646920513,0.00396854888330213,2.5675479133946837,0.49011578708781306,0.7040816326530613,0.0654653670707977,0.0001592905060365401
june_failure,1.0,xgboost,3,0.008097165991902834,0.013305481731724774,0.002201639294935305,1.6432269938680097,0.2719024529245101,0.5914965986394557,0.08038804610392673,0.0008712982137997968
june_failure,3.0,attention_tcn,3,0.0242914979757085,0.12007834455241291,0.09307327716411459,4.943225184074332,3.831516576589385,0.7791609036422315,0.044995899714022895,0.015339319194329912
june_failure,3.0,tcn,3,0.0242914979757085,0.043788106374512366,0.004956380223872448,1.8026103790840926,0.20403765254941592,0.6613646841862609,0.09047676726224663,0.0022226593685462305
june_failure,3.0,xgboost,3,0.0242914979757085,0.025059431320690388,0.002080722223795812,1.0316132560350877,0.08565639821292763,0.4598893499308437,0.03297276041283917,0.0
june_failure,6.0,attention_tcn,3,0.048582995951417,0.11165392907157441,0.057080017743980416,2.2982100400565733,1.17489703189693,0.4717494089834515,0.08032704181572682,-0.0078281306972106
june_failure,6.0,tcn,3,0.048582995951417,0.06316906074167465,0.0026265715966985364,1.30022983359947,0.054063598698711524,0.425531914893617,0.02962425864671024,-0.0024353182113069495
june_failure,6.0,xgboost,3,0.048582995951417,0.050964806467793757,0.004718807731268733,1.0490255997954214,0.09712879246861476,0.48327423167848704,0.01512852293828178,-0.0006050616502761655
june_failure,12.0,attention_tcn,3,0.097165991902834,0.0708804196344948,0.003663906327241762,0.7294776520716756,0.03770770261786317,0.2899850523168909,0.03807306125349127,-0.008165619045030353
june_failure,12.0,tcn,3,0.097165991902834,0.11464910491986013,0.028485831563871442,1.1799303714668938,0.29316668317817685,0.46935724962630787,0.05073721529990415,-0.003707252054785683
june_failure,12.0,xgboost,3,0.097165991902834,0.0841785360473204,0.008600101721979964,0.8663374334870056,0.08850938022204383,0.3161123567513702,0.02033240646263617,-0.07714764277140297
july_holdout,1.0,attention_tcn,3,0.000984251968503937,0.0007671081995151395,4.6619100616452096e-05,0.7793819307073817,0.04736500622631535,0.039655172413793106,0.06399249892342392,-0.0036000997869161037
july_holdout,1.0,tcn,3,0.000984251968503937,0.0007420864558517733,9.576974138628828e-07,0.7539598391454018,0.0009730205724847147,0.005418719211822687,0.0014982173719946391,-0.0002924418026880018
july_holdout,1.0,xgboost,3,0.000984251968503937,0.0016042083349744388,0.0004328686408993412,1.6298756683340299,0.4397945391537307,0.4197865353037767,0.2674310163840195,-0.0002716928720474336
july_holdout,3.0,attention_tcn,3,0.002952755905511811,0.0017454230641074304,1.9902891763852768e-05,0.5911166110443831,0.0067404460106914674,0.015712405396512013,0.011471022055645519,-0.006968379720503462
july_holdout,3.0,tcn,3,0.002952755905511811,0.0017360675802638298,1.3130330042937383e-05,0.587948220516017,0.004446805107874797,0.011599210266535055,0.01248271709895815,-0.0013691082320311445
july_holdout,3.0,xgboost,3,0.002952755905511811,0.002958101505942306,5.896851716550546e-06,1.0018103766791275,0.001997067114671825,0.43838433695294504,0.002211966051291336,0.0
july_holdout,6.0,attention_tcn,3,0.005905511811023622,0.0032260204672028333,1.1167285352292012e-05,0.5462727991130131,0.0018909936529881333,0.008278327832783287,0.0037323775584929006,-0.06505323814538617
july_holdout,6.0,tcn,3,0.005905511811023622,0.0038429137794916573,0.0008762528678249614,0.6507333999939208,0.14837881895169355,0.15515676567656767,0.15349570745490604,-0.025319638410413323
july_holdout,6.0,xgboost,3,0.005905511811023622,0.005818881079912051,0.00015004882778207938,0.9853305295317739,0.025408268171098758,0.438263201320132,0.0028359773372576224,0.0
july_holdout,12.0,attention_tcn,3,0.011811023622047244,0.006305797044049825,4.3961927718318895e-05,0.5338908163962185,0.003722109880151014,0.024879648074369168,0.008491754886999135,-0.10969856321268402
july_holdout,12.0,tcn,3,0.011811023622047244,0.0070078934974335885,0.0006164473441405831,0.5933349827827105,0.05219254180390272,0.17990537848605573,0.09087168139929738,-0.06688306791086991
july_holdout,12.0,xgboost,3,0.011811023622047244,0.012286363504752781,0.0017439612589213588,1.0402454434024022,0.14765538658867497,0.4556842076139885,0.07558893488001123,0.0
